sample_accession	run_accession	assembly_accession	assembly_seqkit_sum	asm_pipe_filter	asm_fasta_on_osf	dataset	scientific_name	sylph_species_pre_202505	in_hq_pre_202505	sylph_species	sylph_filter	hq_filter	osf_tarball_filename	osf_tarball_url	aws_url	comments
SAMN33819297	SRR23931388	ERZ26481689	seqkit.v0.1_DLS_k0_a3fc241a43813278a7bceed300280c10	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819297.fa.gz	
SAMN33819298	SRR23931387	ERZ26481694	seqkit.v0.1_DLS_k0_75eddc07495519a39f2868544f25e4e0	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819298.fa.gz	
SAMN33819299	SRR23931386	ERZ26481699	seqkit.v0.1_DLS_k0_6ad0e97d878a4543055ec7714472e798	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819299.fa.gz	
SAMN33819300	SRR23931385	ERZ26481705	seqkit.v0.1_DLS_k0_caf13de8dad6bda4bc1b3f799f7a908d	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819300.fa.gz	
SAMN33819301	SRR23931384	ERZ26481710	seqkit.v0.1_DLS_k0_6c1e38471c7d680c8f6a296b52e4a43b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819301.fa.gz	
SAMN33819302	SRR23931383	ERZ26481720	seqkit.v0.1_DLS_k0_05023d89528eb66b97fb8b9f5ceeb031	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	F	Pseudomonas aeruginosa	PASS	CHECKM2_MAX_CONTAM,CHECKM2_MIN_COMPL,MAX_CONTIG_NUM,MIN_N50	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819302.fa.gz	
SAMN33819303	SRR23931382	ERZ26481725	seqkit.v0.1_DLS_k0_7979110b7eff5acd7731b38ff4d2326a	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819303.fa.gz	
SAMN33819304	SRR23931381	ERZ26481732	seqkit.v0.1_DLS_k0_c8caaa58f716e4df90353a0b01fcb261	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819304.fa.gz	
SAMN33819305	SRR23931380	ERZ26481738	seqkit.v0.1_DLS_k0_4876cdb3824349c3ffcdae4b7e2a2861	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819305.fa.gz	
SAMN33819306	SRR23931378	ERZ26481743	seqkit.v0.1_DLS_k0_bb3ea1822b385a5e6dbb69cefa750f60	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819306.fa.gz	
SAMN33819307	SRR23931377	ERZ26481748	seqkit.v0.1_DLS_k0_db95508ce283f70e0f076e506ec3398a	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819307.fa.gz	
SAMN33819308	SRR23931376	ERZ26481754	seqkit.v0.1_DLS_k0_b495af50a1b1775eebd382cc45664555	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819308.fa.gz	
SAMN33819309	SRR23931375	ERZ26481759	seqkit.v0.1_DLS_k0_7db7cb8de222798f318e1c4ecd856c6b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819309.fa.gz	
SAMN33819310	SRR23931374	ERZ26481764	seqkit.v0.1_DLS_k0_cd42bdc2410d3c84af44e543b8750e9b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819310.fa.gz	
SAMN33819311	SRR23931345	ERZ26481769	seqkit.v0.1_DLS_k0_b8a826367a9bccfa0c6853f090a66287	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819311.fa.gz	
SAMN33819312	SRR23931344	ERZ26481775	seqkit.v0.1_DLS_k0_5d1be782a74c6e991f032dab4525601c	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819312.fa.gz	
SAMN33819313	SRR23931343	ERZ26481781	seqkit.v0.1_DLS_k0_2c040cb1fc7a922f6fbc672e4dd5dd87	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819313.fa.gz	
SAMN33819314	SRR23931342	ERZ26481786	seqkit.v0.1_DLS_k0_a2cd300c1663c095768844238effbb2a	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819314.fa.gz	
SAMN33819315	SRR23931341	ERZ26481791	seqkit.v0.1_DLS_k0_5f5a40986438095a4fb0064b263a701b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819315.fa.gz	
SAMN33819316	SRR23931339	ERZ26481796	seqkit.v0.1_DLS_k0_25728a8d8960a01d729538fd87716870	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819316.fa.gz	
SAMN33819317	SRR23931338	ERZ26481803	seqkit.v0.1_DLS_k0_90132b5a2a4d0a6fe247ddf7fcde30cd	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819317.fa.gz	
SAMN33819318	SRR23931337	ERZ26481809	seqkit.v0.1_DLS_k0_aee42c5fa8f780410b9b5b7b917f0e3b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819318.fa.gz	
SAMN33819319	SRR23931336	ERZ26481814	seqkit.v0.1_DLS_k0_8b4746f52f5dde441f1ee3483065886a	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819319.fa.gz	
SAMN33819320	SRR23931335	ERZ26481820	seqkit.v0.1_DLS_k0_5716e7dac2cf0127e33cfe3a7fb067b5	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819320.fa.gz	
SAMN33819321	SRR23931334	ERZ26481825	seqkit.v0.1_DLS_k0_f643e65f2081bc5b75dd129a37f17138	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819321.fa.gz	
SAMN33819322	SRR23931333	ERZ26481830	seqkit.v0.1_DLS_k0_ba7e4414b9722b82d0aa44146d7c411c	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819322.fa.gz	
SAMN33819323	SRR23930785	ERZ26481835	seqkit.v0.1_DLS_k0_160e4128570b369c0ac0233c66b3b92d	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819323.fa.gz	
SAMN33819324	SRR23930784	ERZ26481841	seqkit.v0.1_DLS_k0_bd767230a71a6776687dea81caccea95	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	F	Pseudomonas aeruginosa	PASS	CHECKM2_MIN_COMPL	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819324.fa.gz	
SAMN33819325	SRR23930773	ERZ26481846	seqkit.v0.1_DLS_k0_09084636a2db5015b8d034c7a4870730	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819325.fa.gz	
SAMN33819326	SRR23930762	ERZ26481851	seqkit.v0.1_DLS_k0_3f1a643e5a46d51564aa65f5242aefd6	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819326.fa.gz	
SAMN33819327	SRR23930751	ERZ26481856	seqkit.v0.1_DLS_k0_6adf5b2644ede4e696c5bb9878fb959d	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819327.fa.gz	
SAMN33819328	SRR23930744	ERZ26481864	seqkit.v0.1_DLS_k0_24bc6633497f7cae0fec721e2ac49d59	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	F	Pseudomonas aeruginosa	PASS	CHECKM2_MIN_COMPL	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819328.fa.gz	
SAMN33819329	SRR23930743	ERZ26481869	seqkit.v0.1_DLS_k0_f6d93a7fb76b76c0ceb8bfaf6580c8a1	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819329.fa.gz	
SAMN33819330	SRR23930742	ERZ26481875	seqkit.v0.1_DLS_k0_55aeb2e3dec6ad0f9eb1af4331c8638b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819330.fa.gz	
SAMN33819331	SRR23930741	ERZ26481880	seqkit.v0.1_DLS_k0_c18757af840263e5a57e2a3ffc094e10	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819331.fa.gz	
SAMN33819332	SRR23930740	ERZ26481885	seqkit.v0.1_DLS_k0_9cd42e7a2ce33ad96f7824c7f6a16f2f	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819332.fa.gz	
SAMN33819333	SRR23930783	ERZ26481889	seqkit.v0.1_DLS_k0_65f06c4d499838260198d1add07ba2f6	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819333.fa.gz	
SAMN33819334	SRR23930782	ERZ26481894	seqkit.v0.1_DLS_k0_fc7922e4d0d0da44a1b0e3911b5e1f2c	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819334.fa.gz	
SAMN33819335	SRR23930781	ERZ26481901	seqkit.v0.1_DLS_k0_348f69810cbd9c12cc685c92843a6698	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819335.fa.gz	
SAMN33819336	SRR23930780	ERZ26481906	seqkit.v0.1_DLS_k0_20af336b220678e10c1d95fb270dc105	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819336.fa.gz	
SAMN33819337	SRR23930779	ERZ26481910	seqkit.v0.1_DLS_k0_c4ad68e85697610960da89c1c330f6d5	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819337.fa.gz	
SAMN33819338	SRR23930778	ERZ26481915	seqkit.v0.1_DLS_k0_aced5688410456aee57b545900b19551	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819338.fa.gz	
SAMN33819340	SRR23930776	ERZ26481920	seqkit.v0.1_DLS_k0_d383a8230cce1977b0de8cce500952fc	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819340.fa.gz	
SAMN33819342	SRR23930774	ERZ26481926	seqkit.v0.1_DLS_k0_8e9f82c8e8025c65c5be65901ad6eb76	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819342.fa.gz	
SAMN33819343	SRR23930772	ERZ26481931	seqkit.v0.1_DLS_k0_bfda43372d5703df04027556c4d7b18e	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819343.fa.gz	
SAMN33819344	SRR23930771	ERZ26481936	seqkit.v0.1_DLS_k0_7155e962bfd132d39481a9a82d43a650	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819344.fa.gz	
SAMN33819345	SRR23930770	ERZ26481942	seqkit.v0.1_DLS_k0_225f32b10228ff08269c434e6f856654	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819345.fa.gz	
SAMN33819346	SRR23930769	ERZ26481947	seqkit.v0.1_DLS_k0_80ca0371065ec0efb64b4da432260bdc	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819346.fa.gz	
SAMN33819347	SRR23930768	ERZ26481952	seqkit.v0.1_DLS_k0_a34501915c6032580314a742cd44628e	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819347.fa.gz	
SAMN33819348	SRR23930767	ERZ26481958	seqkit.v0.1_DLS_k0_b01e5caee4934745e750a73c761ee0db	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819348.fa.gz	
SAMN33819350	SRR23930765	ERZ26481963	seqkit.v0.1_DLS_k0_95f74df65058d9f216e19444c9768fa3	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819350.fa.gz	
SAMN33819351	SRR23930764	ERZ26481969	seqkit.v0.1_DLS_k0_6e998b8191cbc307a72319f90a95555f	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819351.fa.gz	
SAMN33819352	SRR23930763	ERZ26481974	seqkit.v0.1_DLS_k0_7a3a0765e7561b6a8804ecf7d9394a4b	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819352.fa.gz	
SAMN33819353	SRR23930761	ERZ26481979	seqkit.v0.1_DLS_k0_23db7c8637007a4ce7200d986f5df227	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819353.fa.gz	
SAMN33819354	SRR23930760	ERZ26481983	seqkit.v0.1_DLS_k0_0e86c8cae805ca4744eff900012de143	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819354.fa.gz	
SAMN33819355	SRR23930759	ERZ26481988	seqkit.v0.1_DLS_k0_3a2c84c3b9d13f3bc02068ab4910535a	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819355.fa.gz	
SAMN33819356	SRR23930758	ERZ26481993	seqkit.v0.1_DLS_k0_dffb33183341720588d33567d0f007aa	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819356.fa.gz	
SAMN33819357	SRR23930757	ERZ26481998	seqkit.v0.1_DLS_k0_aa66346f7b842a445a349ef5273fb84e	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819357.fa.gz	
SAMN33819358	SRR23930756	ERZ26482004	seqkit.v0.1_DLS_k0_30adcbd6eb9ce8751acdebf548ab18a5	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33819358.fa.gz	
